INFO admin-listener(5) org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherAgrocultural': initialization started
INFO admin-listener(5) org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherAgrocultural': initialization completed in 47 ms
INFO admin-listener(3) org.springframework.web.context.support.AnnotationConfigWebApplicationContext - Closing Root WebApplicationContext: startup date [Wed Jun 17 13:43:41 MSK 2015]; root of context hierarchy
INFO admin-listener(2) org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherAgrocultural': initialization started
INFO admin-listener(2) org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherAgrocultural': initialization completed in 47 ms
INFO http-listener-1(3) ru.lenoblgis.introduse.sergey.data.dao.DAO - Executed finding user by login='FooUser' and he was find!
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Executed finding user by login='FooUser' and he was find!
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(2) ru.lenoblgis.introduse.sergey.data.dao.DAO - Executed requare for finding passports
INFO http-listener-1(1) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(1) ru.lenoblgis.introduse.sergey.data.dao.DAO - Added event (REVIEW) about passport: ru.lenoblgis.introduse.sergey.domen.passport.Passport{id=1063, idOwner=91, cadastrNumber=22}
INFO http-listener-1(1) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed passport: ru.lenoblgis.introduse.sergey.domen.passport.Passport{id=1063, idOwner=91, cadastrNumber=22}
INFO http-listener-1(5) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(5) ru.lenoblgis.introduse.sergey.data.dao.DAO - Added event (REVIEW) about passport: ru.lenoblgis.introduse.sergey.domen.passport.Passport{id=1063, idOwner=91, cadastrNumber=22}
INFO http-listener-1(5) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed passport: ru.lenoblgis.introduse.sergey.domen.passport.Passport{id=1063, idOwner=91, cadastrNumber=22}
INFO http-listener-1(4) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(4) ru.lenoblgis.introduse.sergey.data.dao.DAO - Added event (REVIEW) about passport: ru.lenoblgis.introduse.sergey.domen.passport.Passport{id=1061, idOwner=91, cadastrNumber=null}
INFO http-listener-1(4) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed passport: ru.lenoblgis.introduse.sergey.domen.passport.Passport{id=1061, idOwner=91, cadastrNumber=null}
INFO http-listener-1(3) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(3) ru.lenoblgis.introduse.sergey.data.dao.DAO - Executed requare for finding passports
INFO http-listener-1(3) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(3) ru.lenoblgis.introduse.sergey.data.dao.DAO - Reviwed organization: ru.lenoblgis.introduse.sergey.domen.owner.organization.Organization{id=91, name='Fo0', inn=35}
INFO http-listener-1(3) ru.lenoblgis.introduse.sergey.data.dao.DAO - Added event (EDITION) about passport: ru.lenoblgis.introduse.sergey.domen.passport.Passport{id=1063, idOwner=91, cadastrNumber=22}
INFO http-listener-1(3) ru.lenoblgis.introduse.sergey.data.dao.DAO - Edited passport: ru.lenoblgis.introduse.sergey.domen.passport.Passport{id=1063, idOwner=91, cadastrNumber=22}
